name,display_name,location,mall,price,last_ate
saizeriya,Saizeriya,pasir_ris,white_sands,mid,
subway,Subway,pasir_ris,white_sands,low,
sushi_express,Sushi Express,pasir_ris,white_sands,mid,
soup_spoon,Soup Spoon,pasir_ris,white_sands,mid,
zheng_nan_qi_bai,Zheng Nan Qi Bai and Dong Lai Handmade Fresh Buns Shop,pasir_ris,white_sands,mid,
koufu,Koufu,pasir_ris,white_sands,low,
xin_wang,Xin Wang Hong Kong Café,pasir_ris,white_sands,high,
long_john,Long John Silver,pasir_ris,white_sands,low,
buddy_hoagies,Buddy Hoagies,pasir_ris,pasir_ris_mall,high,
cantine,Cantine,pasir_ris,pasir_ris_mall,low,
guzman,Guzman Y Gomez,pasir_ris,pasir_ris_mall,mid,
pepper_lunch,Pepper Lunch,pasir_ris,pasir_ris_mall,mid,
xiang_xiang,Xiang Xiang Hunan Cuisine,pasir_ris,pasir_ris_mall,high,
yayoi,Yayoi Japanese Teishoku Restaurant,pasir_ris,pasir_ris_mall,high,26-07-2025
ygf,Yang Guo Fu,pasir_ris,pasir_ris_mall,mid,
genki_sushi,Genki Sushi,pasir_ris,pasir_ris_mall,high,
alley_wei,Nong Zi Li,tampines,tampines_mall,low,
din_tai_fung,Din Tai Fung,tampines,tampines_mall,high,
kopitiam,Kopitiam,tampines,tampines_mall,low,
nandos,Nandos,tampines,tampines_mall,mid,
pu_tien,Pu Tien,tampines,tampines_mall,high,
swensens,Swensens,tampines,tampines_mall,high,
namu_bulgogi,Namu Bulgogi,tampines,tampines_one,high,
tim_ho_wan,Tim Ho Wan,tampines,tampines_one,mid,
gong_yuan,Gong Yuan Mala Tang,tampines,century_square,mid,
twyst,Twyst,tampines,century_square,mid,
xw_plus_western,XW Plus Western Grill,tampines,century_square,mid,
